(diš) sila[unit]N	 P217487.30.1+P217487.30.2+P217487.30.3+P217487.30.4+P217487.30.5+P217487.30.6+P217487.30.7+P217487.30.9+P217487.30.10+P217487.
.10	 P323695.17.1+P323695.17.2+P323695.17.3+P323695.17.4+P323695.17.5+P323695.17.6+P323695.17.7+P323695.17.8+P323695.17.9+P323695.1
.10+P323695.10.11+P323695.10.12	 P323695.10.1+P323695.10.2+P323695.10.3+P323695.10.4+P323695.10.5+P323695.10.6+P323695.10.7+P323695.10.8+P323695.10.9+P323695.1
.10+P323695.13.11+P323695.13.12+P323695.13.13+P323695.13.14+P323695.13.15+P323695.13.16	 P323695.13.1+P323695.13.2+P323695.13.3+P323695.13.4+P323695.13.5+P323695.13.6+P323695.13.7+P323695.13.8+P323695.13.9+P323695.1
/2(diš) sila[unit]N	 P217487.34.2+P217487.34.3+P217487.34.4+P217487.34.5+P217487.34.6+P217487.34.7+P217487.34.8+P217487.34.10+P217487.34.12+P217487
0.11+P217487.30.12+P217487.30.13+P217487.30.14+P217487.30.15+P217487.30.16	 P217487.30.1+P217487.30.2+P217487.30.3+P217487.30.4+P217487.30.5+P217487.30.6+P217487.30.7+P217487.30.9+P217487.30.10+P217487.
1(N01) n	P325862.100.1+P325862.100.2
1(aš)	P109058.5.1 P112757.11.1 P112757.16.1 P112757.18.1 P112757.20.1 P112757.22.1 P112757.5.1 P112757.7.1 P112757.9.1 P115261.10.1 P115261.3.1 P115261.4.1 P115261.6.1 P115261.7.1 P115261.8.1 P142043.3.1 P212437.11.1 P212722.9.1 P212894.13.1 P212894.16.1 P212899.43.1 P212901.13.1 P212901.17.1 P212901.22.1 P212908.8.1 P212913.13.1 P212913.8.1 P213135.7.1 P213152.5.1 P213203.3.1 P213687.6.1 P214368.9.1 P214724.6.1 P214976.14.1 P214976.33.1 P214976.36.1 P214978.15.1 P214978.16.1 P215011.24.1 P215011.25.1 P215011.3.1 P215011.4.1 P215083.6.1 P215090.12.1 P215090.13.1 P215090.14.1 P215090.15.1 P215090.16.1 P215090.8.1 P215095.3.1 P215095.4.1 P215203.7.1 P215263.3.1 P215314.19.1 P215314.5.1 P215314.8.1 P215314.9.1 P215470.41.1 P215470.4.1 P215470.42.1 P215470.44.1 P215471.8.1 P215488.5.1 P215689.4.1 P215689.5.1 P215740.12.1 P215768.3.1 P215830.15.4 P215834.16.1 P215834.17.1 P215834.18.1 P215834.5.1 P215834.5.3 P215834.6.4 P217189.15.6 P217189.17.5 P217383.3.1 P217477.21.1 P217477.9.1 P217513.11.1 P217531.3.1 P217532.11.2 P217565.4.1 P217565.5.1 P217625.3.1 P250687.7.1 P250709.27.2 P253297.5.1 P253303.5.1 P264205.66.2 P264205.68.2 P264205.77.3 P264205.79.3 P264205.94.3 P264205.96.3 P323304.11.1 P323764.3.1 P324670.4.1 P326403.3.1 P328983.6.1 P345972.11.1 P452996.13.1
1(aš) 1(ban₂) 2(aš@c) 1/2(diš) sila[unit]N gur[unit]N	 P215861.10.2+P215861.10.3+P215861.10.4+P215861.10.5+P215861.10.6+P215861.10.8
1(aš) 1(barig)	P215494.7.1+P215494.7.2 P216290.11.1+P216290.11.2 P216304.3.1+P216304.3.2 P216327.3.1+P216327.3.2 P217227.33.1+P217227.33.2 P323701.11.1+P323701.11.2 P491609.3.1+P491609.3.2
1(aš) 1(barig)-ta	P214729.4.3+P214729.4.4
1(aš) 1(barig) 3(ban₂)	P217476.16.2+P217476.16.3+P217476.16.4
1(aš) 2(ban₂)	P216334.7.1+P216334.7.2 P225784.6.1+P225784.6.2
