a		_
a₂	a2	_
ʾa₃	'a3	_
ab		_
ab₂	ab2	ab₂ ap₂
aba₄	aba4	_
abba₂	abba2	_
abgal		_
abgal₂	abgal2	_
absin₃	absin3	absin₃ abšin₃
abul		abul abulla abula
abzu		abzu absu
ad		_
ad₂	ad2	ad₂ at₂
ad₃	ad3	_
ad₄	ad4	_
ad₆	ad6	ad₆ at₆ adda
ad₇	ad7	_
ad₈	ad8	_
adab		_
addir		_
addu₃	addu3	_
ag		_
ag₂	ag2	ag₂ aŋ₂ aga₂ aka₂
aga		_
aga₃	aga3	_
agar₂	agar2	_
agrig		agrig aŋrig
agrun		agrun agru₊(E₂.NUN) agruna₊(E₂.NUN)
ah		_
ak		_
akan		akan akani
akkil		_
akšak	akszak	_
akšak₂	akszak2	_
aktum		_
aktum₂	aktum2	_
aktumₓ		_
al		al ala₃
al₂	al2	_
al₃	al3	_
alal		_
alal₂	alal2	_
alamuš	alamusz	_
alan		alan alam
alim		alim alima
alla		_
am		am ama₂
am₃	am3	_
am₄	am4	_
am₆	am6	_
ama		_
ama₅	ama5	_
ama₆	ama6	_
amalu		_
amar		_
amaš	amasz	amaš amaša
ambar		ambar ambara anbar abbar
amuš	amusz	amuš amuša
an		_
anše	ansze	anše anšu
anzu		_
anzu₂	anzu2	_
anzuₓ		_
ap		_
apin		apin apina
aq		_
ar		_
ar₂	ar2	ar₂ ara₂
ar₃	ar3	ar₃ ara₃
arad		_
arad₂	arad2	arad₂ ir₁₁ urda₂ urdu₂
aratta		aratta arata
arhuš	arhusz	_
as		_
aṣ	as,	_
as₂	as2	_
asal		_
asal₂	asal2	asal₂ asar₂ ašar₂
asalₓ		_
asar		_
asila₃	asila3	_
aš₂	asz2	_
aš₃	asz3	aš₃ aša₃
aš₄	asz4	_
aš₇	asz7	_
ašgab	aszgab	_
ašgi	aszgi	_
ašgi₂	aszgi2	_
ašnan	asznan	ašnan ašnana
at		_
aṭ	at,	_
az		_
azag		azag asag azak
azlag		_
azlag₂	azlag2	azlag₂ azalag₂
azlag₅	azlag5	azlag₅ azalag₅
ba		_
ba₂	ba2	_
ba₃	ba3	_
ba₄	ba4	_
ba₆	ba6	_
ba₇	ba7	_
babbar		_
babbar₂	babbar2	_
babila		_
babila₂	babila2	_
babilaₓ		_
bad		bad bada bat pat₂ bata ba₉ pad₂
bad₃	bad3	_
bahar₂	bahar2	_
bahar₃	bahar3	_
bal		_
bala		_
balag		balag balaŋ
ban		_
banda₃	banda3	_
banšur	banszur	banšur banšura panšur bansur
bappir		bappir bappira
bappir₂	bappir2	bappir₂ bappira₂
bappir₃	bappir3	bappir₃ bappira₃
bar		bar par₂ para₂ bara bare
bar₂	bar2	_
bar₆	bar6	_
bar₇	bar7	_
bara₂	bara2	_
bara₃	bara3	_
bat₃	bat3	_
bat₅	bat5	_
be		_
be₂	be2	_
be₆	be6	_
be₇	be7	_
bi		_
bi₂	bi2	_
bi₃	bi3	_
bi₇	bi7	bi₇ bed₃ bit₃ be₅ bid₃ bet₃
bil		_
bil₂	bil2	_
bil₃	bil3	_
bil₄	bil4	_
bir		bir pir₃ biri
bir₂	bir2	_
bir₃	bir3	_
bir₄	bir4	_
bir₅	bir5	bir₅ pir₆
birₓ		_
biš	bisz	_
bit		bit bid pid biti pit betu
bu		_
bu₁₀	bu10	_
bu₁₃	bu13	_
bu₂	bu2	bu₂ buš
bu₃	bu3	bu₃ bur₊(KA×GAN₂@t)
