U+F5200	󵈀
U+F5201	󵈁
U+F5201	󵈁
U+F5203	󵈃
U+F5204	󵈄
U+F5205	󵈅
U+F5205	󵈅
U+F5207	󵈇
U+F5208	󵈈
U+F5209	󵈉
U+F520A	󵈊
U+F520B	󵈋
U+F520C	󵈌
U+F520D	󵈍
U+F520E	󵈎
U+F520F	󵈏
U+F5210	󵈐
U+F5211	󵈑
U+F5212	󵈒
U+F5213	󵈓
U+F5214	󵈔
U+F5216	󵈖
U+F5217	󵈗
U+F5219	󵈙
U+F521A	󵈚
-	-
U+F521B	󵈛
U+F521C	󵈜
U+F521D	󵈝
U+F521E	󵈞
U+F521F	󵈟
U+F5220	󵈠
U+F5221	󵈡
U+F5222	󵈢
U+F5223	󵈣
U+F5224	󵈤
U+F5225	󵈥
U+F5226	󵈦
U+F5227	󵈧
U+F5228	󵈨
U+F5229	󵈩
U+F522A	󵈪
U+F522B	󵈫
U+F522C	󵈬
U+F522D	󵈭
U+F522E	󵈮
U+F522F	󵈯
U+F5230	󵈰
U+F5231	󵈱
U+F5232	󵈲
U+F5233	󵈳
U+F5234	󵈴
U+F5235	󵈵
U+F5236	󵈶
U+F5237	󵈷
U+F5238	󵈸
U+F5239	󵈹
U+F523A	󵈺
U+F523B	󵈻
U+F523C	󵈼
U+F523D	󵈽
U+F523E	󵈾
U+F523F	󵈿
U+F5240	󵉀
U+F5241	󵉁
U+F5242	󵉂
U+F5243	󵉃
U+F5244	󵉄
U+F5245	󵉅
U+F5246	󵉆
U+F5247	󵉇
U+F5248	󵉈
U+F5249	󵉉
U+F524A	󵉊
U+F524B	󵉋
U+F524C	󵉌
U+F524D	󵉍
U+F524E	󵉎
U+F524F	󵉏
U+F5250	󵉐
U+F5251	󵉑
U+F5252	󵉒
U+F5253	󵉓
U+F5254	󵉔
U+F5255	󵉕
U+F5256	󵉖
U+F5257	󵉗
U+F5258	󵉘
U+F5259	󵉙
U+F525A	󵉚
U+F525A	󵉚
U+F525A	󵉚
U+F525D	󵉝
U+F525E	󵉞
U+F525F	󵉟
U+F5260	󵉠
U+F5261	󵉡
U+F5262	󵉢
U+F5263	󵉣
U+F5264	󵉤
U+F5265	󵉥
U+F5266	󵉦
U+F5267	󵉧
U+F5268	󵉨
U+F5269	󵉩
U+F526A	󵉪
U+F526B	󵉫
U+F526C	󵉬
U+F526D	󵉭
U+F526E	󵉮
U+F526F	󵉯
U+F5270	󵉰
U+F5270	󵉰
U+F5272	󵉲
U+F5273	󵉳
U+F5274	󵉴
U+F5275	󵉵
U+F5276	󵉶
U+F5277	󵉷
U+F5277	󵉷
U+F527C	󵉼
U+F527E	󵉾
U+F527F	󵉿
U+F5280	󵊀
U+F5281	󵊁
U+F5282	󵊂
U+F5283	󵊃
U+F5284	󵊄
U+F5285	󵊅
U+F5286	󵊆
U+F5286	󵊆
U+F5286	󵊆
U+F5288	󵊈
U+F5289	󵊉
U+F528A	󵊊
U+F528B	󵊋
U+F528C	󵊌
U+F528D	󵊍
U+F528E	󵊎
U+F528F	󵊏
U+F5290	󵊐
U+F5291	󵊑
U+F5292	󵊒
U+F5293	󵊓
U+F5294	󵊔
U+F5295	󵊕
U+F5296	󵊖
U+F5297	󵊗
U+F5298	󵊘
U+F5299	󵊙
U+F529A	󵊚
U+F529B	󵊛
U+F529C	󵊜
U+F529D	󵊝
U+F529E	󵊞
U+F529E	󵊞
U+F52A0	󵊠
U+F52A1	󵊡
U+F52A2	󵊢
U+F52A3	󵊣
U+F52A4	󵊤
U+F52A5	󵊥
U+F52A6	󵊦
U+F52A7	󵊧
U+F52A7	󵊧
U+F52A9	󵊩
U+F52AA	󵊪
U+F52AB	󵊫
U+F52AC	󵊬
U+F52AD	󵊭
U+F52AE	󵊮
U+F52AF	󵊯
U+F52B0	󵊰
U+F52B1	󵊱
U+F52B2	󵊲
U+F52B3	󵊳
U+F52B4	󵊴
U+F52B5	󵊵
U+F52B6	󵊶
U+F52B7	󵊷
U+F52B8	󵊸
U+F52B9	󵊹
U+F52BA	󵊺
U+F52BB	󵊻
U+F52BC	󵊼
U+F52BD	󵊽
U+F52BE	󵊾
U+F52BF	󵊿
U+F52C0	󵋀
U+F52C1	󵋁
U+F52C2	󵋂
U+F52C3	󵋃
U+F52C4	󵋄
U+F52C5	󵋅
U+F52C6	󵋆
U+F52C7	󵋇
