MZL001	U+F5200	󵈀
MZL002	U+F5201	󵈁
MZL003	U+F5203	󵈃
MZL004	U+F5204	󵈄
MZL005	U+F5205	󵈅
MZL006	U+F5207	󵈇
MZL007	U+F5208	󵈈
MZL008	U+F5209	󵈉
MZL009	U+F520A	󵈊
MZL010	U+F520B	󵈋
MZL011	U+F520C	󵈌
MZL012	U+F520D	󵈍
MZL013	U+F520E	󵈎
MZL014	U+F520F	󵈏
MZL015	U+F5210	󵈐
MZL016	U+F5211	󵈑
MZL017	U+F5212	󵈒
MZL018	U+F5213	󵈓
MZL019	U+F5214	󵈔
MZL020	U+F5216	󵈖
MZL021	U+F5217	󵈗
MZL022	U+F5219	󵈙
MZL023	U+F521A	󵈚
MZL024	U+F521B	󵈛
MZL025	U+F521C	󵈜
MZL026	U+F521D	󵈝
MZL027	U+F521E	󵈞
MZL028	U+F521F	󵈟
MZL029	U+F5220	󵈠
MZL030	U+F5221	󵈡
MZL031	U+F5222	󵈢
MZL032	U+F5223	󵈣
MZL033	U+F5224	󵈤
MZL034	U+F5225	󵈥
MZL035	U+F5226	󵈦
MZL036	U+F5227	󵈧
MZL037	U+F5228	󵈨
MZL038	U+F5229	󵈩
MZL039	U+F522A	󵈪
MZL040	U+F522B	󵈫
MZL041	U+F522C	󵈬
MZL042	U+F522D	󵈭
MZL043	U+F522E	󵈮
MZL044	U+F522F	󵈯
MZL045	U+F5230	󵈰
MZL046	U+F5231	󵈱
MZL047	U+F5232	󵈲
MZL048	U+F5233	󵈳
MZL049	U+F5234	󵈴
MZL050	U+F5235	󵈵
MZL051	U+F5236	󵈶
MZL052	U+F5237	󵈷
MZL053	U+F5238	󵈸
MZL054	U+F5239	󵈹
MZL055	U+F523A	󵈺
MZL056	U+F523B	󵈻
MZL057	U+F523C	󵈼
MZL058	U+F523D	󵈽
MZL059	U+F523E	󵈾
MZL060	U+F523F	󵈿
MZL061	U+F5240	󵉀
MZL062	U+F5241	󵉁
MZL063	U+F5242	󵉂
MZL064	U+F5243	󵉃
MZL065	U+F5244	󵉄
MZL066	U+F5245	󵉅
MZL067	U+F5246	󵉆
MZL068	U+F5247	󵉇
MZL069	U+F5248	󵉈
MZL070	U+F5249	󵉉
MZL071	U+F524A	󵉊
MZL072	U+F524B	󵉋
MZL073	U+F524C	󵉌
MZL074	U+F524D	󵉍
MZL075	U+F524E	󵉎
MZL076	U+F524F	󵉏
MZL077	U+F5250	󵉐
MZL078	U+F5251	󵉑
MZL079	U+F5252	󵉒
MZL080	U+F5253	󵉓
MZL081	U+F5254	󵉔
MZL082	U+F5255	󵉕
MZL083	U+F5256	󵉖
MZL084	U+F5257	󵉗
MZL085	U+F5258	󵉘
MZL086	U+F5259	󵉙
MZL087	U+F525A	󵉚
MZL088	U+F525D	󵉝
MZL089	U+F525E	󵉞
MZL090	U+F525F	󵉟
MZL091	U+F5260	󵉠
MZL092	U+F5261	󵉡
MZL093	U+F5262	󵉢
MZL094	U+F5263	󵉣
MZL095	U+F5264	󵉤
MZL096	U+F5265	󵉥
MZL097	U+F5266	󵉦
MZL098	U+F5267	󵉧
MZL099	U+F5268	󵉨
MZL100	U+F5269	󵉩
MZL101	U+F526A	󵉪
MZL102	U+F526B	󵉫
MZL103	U+F526C	󵉬
MZL104	U+F526D	󵉭
MZL105	U+F526E	󵉮
MZL106	U+F526F	󵉯
MZL107	U+F5270	󵉰
MZL108	U+F5272	󵉲
MZL109	U+F5273	󵉳
MZL110	U+F5274	󵉴
MZL111	U+F5275	󵉵
MZL112	U+F5276	󵉶
MZL113	U+F5277	󵉷
MZL114	U+F527C	󵉼
MZL115	U+F527E	󵉾
MZL116	U+F527F	󵉿
MZL117	U+F5280	󵊀
MZL118	U+F5281	󵊁
MZL119	U+F5282	󵊂
MZL120	U+F5283	󵊃
MZL121	U+F5284	󵊄
MZL122	U+F5285	󵊅
MZL123	U+F5286	󵊆
MZL124	U+F5288	󵊈
MZL125	U+F5289	󵊉
MZL126	U+F528A	󵊊
MZL127	U+F528B	󵊋
MZL128	U+F528C	󵊌
MZL129	U+F528D	󵊍
MZL130	U+F528E	󵊎
MZL131	U+F528F	󵊏
MZL132	U+F5290	󵊐
MZL133	U+F5291	󵊑
MZL134	U+F5292	󵊒
MZL135	U+F5293	󵊓
MZL136	U+F5294	󵊔
MZL137	U+F5295	󵊕
MZL138	U+F5296	󵊖
MZL139	U+F5297	󵊗
MZL140	U+F5298	󵊘
MZL141	U+F5299	󵊙
MZL142	U+F529A	󵊚
MZL143	U+F529B	󵊛
MZL144	U+F529C	󵊜
