@label	oNOTO
@font	/home/oracc/www/fonts/Oracc-Noto-SansCuneiform.ttf
@css	ofs-noto
o0000087	U+12000	oNOTO
o0000845	U+12001	oNOTO
o0000846	U+12002	oNOTO
o0000848	U+12004	oNOTO
o0000849	U+12005	oNOTO
o0000850	U+12006	oNOTO
o0000851	U+12007	oNOTO
o0000852	U+12008	oNOTO
o0000112	U+12009	oNOTO
o0000088	U+1200A	oNOTO
o0000745	U+1200B	oNOTO
o0000746	U+1200C	oNOTO
o0000747	U+1200D	oNOTO
o0000748	U+1200E	oNOTO
o0000749	U+1200F	oNOTO
o0000750	U+12010	oNOTO
o0000751	U+12011	oNOTO
o0000752	U+12012	oNOTO
o0000755	U+12013	oNOTO
o0000743	U+12014	oNOTO
o0000089	U+12015	oNOTO
o0000090	U+12016	oNOTO
o0000765	U+12017	oNOTO
o0000767	U+12018	oNOTO
o0000764	U+12019	oNOTO
o0000771	U+1201A	oNOTO
o0000770	U+1201B	oNOTO
o0000092	U+1201C	oNOTO
o0000093	U+1201D	oNOTO
o0000777	U+1201E	oNOTO
o0000776	U+1201F	oNOTO
o0000094	U+12020	oNOTO
o0000782	U+12021	oNOTO
o0000783	U+12022	oNOTO
o0000784	U+12023	oNOTO
o0000785	U+12024	oNOTO
o0000786	U+12025	oNOTO
o0000787	U+12026	oNOTO
o0000790	U+12027	oNOTO
o0000789	U+12028	oNOTO
o0000095	U+12029	oNOTO
o0000096	U+1202A	oNOTO
o0000097	U+1202B	oNOTO
o0000795	U+1202C	oNOTO
o0000099	U+1202D	oNOTO
o0000796	U+1202E	oNOTO
o0000642	U+1202F	oNOTO
o0000620	U+12030	oNOTO
o0000643	U+12031	oNOTO
o0000101	U+12032	oNOTO
o0000102	U+12033	oNOTO
o0000103	U+12034	oNOTO
o0000843	U+12035	oNOTO
o0000104	U+12036	oNOTO
o0000105	U+12037	oNOTO
o0000106	U+12038	oNOTO
o0223363	U+12039	oNOTO
o0000107	U+1203A	oNOTO
o0000860	U+1203B	oNOTO
o0000859	U+1203C	oNOTO
o0000853	U+1203D	oNOTO
o0000110	U+1203E	oNOTO
o0000109	U+1203F	oNOTO
o0000113	U+12040	oNOTO
o0000114	U+12041	oNOTO
o0000116	U+12042	oNOTO
o0000117	U+12043	oNOTO
o0000118	U+12044	oNOTO
o0000901	U+12045	oNOTO
o0000119	U+12046	oNOTO
o0000120	U+12047	oNOTO
o0000121	U+12048	oNOTO
o0000122	U+12049	oNOTO
o0000926	U+1204A	oNOTO
o0000927	U+1204B	oNOTO
o0000928	U+1204C	oNOTO
o0000124	U+1204D	oNOTO
o0000930	U+1204E	oNOTO
o0000931	U+1204F	oNOTO
o0000929	U+12050	oNOTO
o0000128	U+12051	oNOTO
o0000937	U+12052	oNOTO
o0000129	U+12053	oNOTO
o0000131	U+12054	oNOTO
o0000132	U+12055	oNOTO
o0000133	U+12056	oNOTO
o0000943	U+12057	oNOTO
o0000950	U+12058	oNOTO
o0000951	U+12059	oNOTO
o0000952	U+1205A	oNOTO
o0000953	U+1205B	oNOTO
o0000944	U+1205C	oNOTO
o0000955	U+1205D	oNOTO
o0000954	U+1205E	oNOTO
o0000956	U+1205F	oNOTO
o0000957	U+12060	oNOTO
o0000958	U+12061	oNOTO
o0000945	U+12062	oNOTO
o0000959	U+12063	oNOTO
o0000960	U+12064	oNOTO
o0000962	U+12065	oNOTO
o0000946	U+12066	oNOTO
o0000961	U+12067	oNOTO
o0000963	U+12068	oNOTO
o0000947	U+12069	oNOTO
o0000964	U+1206A	oNOTO
o0000965	U+1206B	oNOTO
o0000948	U+1206C	oNOTO
o0000967	U+1206D	oNOTO
o0000134	U+1206E	oNOTO
o0000135	U+1206F	oNOTO
o0000136	U+12070	oNOTO
o0000137	U+12071	oNOTO
o0000139	U+12072	oNOTO
o0000140	U+12073	oNOTO
o0000141	U+12074	oNOTO
o0000978	U+12075	oNOTO
o0000143	U+12076	oNOTO
o0000144	U+12077	oNOTO
o0000981	U+12078	oNOTO
o0000145	U+12079	oNOTO
o0000149	U+1207A	oNOTO
o0000989	U+1207B	oNOTO
o0000150	U+1207C	oNOTO
o0000152	U+1207D	oNOTO
o0000153	U+1207E	oNOTO
o0000154	U+12080	oNOTO
o0000155	U+12081	oNOTO
o0000156	U+12082	oNOTO
o0000157	U+12083	oNOTO
o0000158	U+12084	oNOTO
o0000160	U+12085	oNOTO
o0000161	U+12086	oNOTO
o0000162	U+12087	oNOTO
o0000164	U+12088	oNOTO
o0000165	U+12089	oNOTO
o0000166	U+1208A	oNOTO
o0001123	U+1208B	oNOTO
o0001040	U+1208C	oNOTO
o0000180	U+1208D	oNOTO
o0001154	U+1208E	oNOTO
o0001156	U+1208F	oNOTO
o0001158	U+12090	oNOTO
o0001160	U+12091	oNOTO
o0001162	U+12092	oNOTO
o0001161	U+12093	oNOTO
o0000167	U+12094	oNOTO
o0000168	U+12095	oNOTO
o0000170	U+12096	oNOTO
o0000173	U+12097	oNOTO
o0001079	U+12098	oNOTO
o0001078	U+12099	oNOTO
o0001083	U+1209A	oNOTO
o0001048	U+1209B	oNOTO
o0001077	U+1209C	oNOTO
o0000646	U+1209D	oNOTO
o0000174	U+1209E	oNOTO
o0000175	U+1209F	oNOTO
o0000178	U+120A0	oNOTO
o0000177	U+120A1	oNOTO
o0001102	U+120A2	oNOTO
o0001099	U+120A3	oNOTO
o0001100	U+120A4	oNOTO
o0001101	U+120A5	oNOTO
o0001104	U+120A6	oNOTO
o0001106	U+120A7	oNOTO
o0001105	U+120A8	oNOTO
o0001109	U+120A9	oNOTO
o0001108	U+120AA	oNOTO
o0001110	U+120AB	oNOTO
o0001111	U+120AC	oNOTO
o0000644	U+120AD	oNOTO
o0001112	U+120AE	oNOTO
o0001114	U+120AF	oNOTO
o0001113	U+120B0	oNOTO
o0001115	U+120B1	oNOTO
o0001116	U+120B2	oNOTO
o0001119	U+120B3	oNOTO
o0001118	U+120B4	oNOTO
o0000187	U+120B5	oNOTO
o0000188	U+120B6	oNOTO
o0000206	U+120B7	oNOTO
o0001246	U+120B8	oNOTO
o0001248	U+120B9	oNOTO
o0001249	U+120BA	oNOTO
o0001250	U+120BB	oNOTO
o0001286	U+120BC	oNOTO
o0001287	U+120BD	oNOTO
o0001251	U+120BE	oNOTO
o0001288	U+120BF	oNOTO
o0001252	U+120C0	oNOTO
o0001291	U+120C1	oNOTO
o0001253	U+120C2	oNOTO
o0001292	U+120C3	oNOTO
o0001295	U+120C4	oNOTO
o0001294	U+120C5	oNOTO
o0001296	U+120C6	oNOTO
o0001297	U+120C7	oNOTO
o0001256	U+120C8	oNOTO
o0001299	U+120C9	oNOTO
o0001300	U+120CA	oNOTO
o0001302	U+120CB	oNOTO
o0001303	U+120CC	oNOTO
o0001305	U+120CD	oNOTO
o0001306	U+120CE	oNOTO
o0001261	U+120CF	oNOTO
o0001260	U+120D0	oNOTO
o0001263	U+120D1	oNOTO
o0001307	U+120D2	oNOTO
o0001264	U+120D3	oNOTO
o0001265	U+120D4	oNOTO
o0001308	U+120D5	oNOTO
o0001309	U+120D6	oNOTO
o0001266	U+120D7	oNOTO
o0001310	U+120D8	oNOTO
o0001311	U+120D9	oNOTO
o0001312	U+120DA	oNOTO
o0001267	U+120DB	oNOTO
o0001269	U+120DC	oNOTO
o0001314	U+120DD	oNOTO
o0001271	U+120DE	oNOTO
o0001316	U+120DF	oNOTO
o0001320	U+120E0	oNOTO
o0001319	U+120E1	oNOTO
o0001321	U+120E2	oNOTO
o0001322	U+120E3	oNOTO
o0001323	U+120E4	oNOTO
o0001330	U+120E5	oNOTO
o0001276	U+120E6	oNOTO
o0001331	U+120E7	oNOTO
o0001324	U+120E8	oNOTO
o0001325	U+120E9	oNOTO
o0001327	U+120EA	oNOTO
o0001326	U+120EB	oNOTO
o0001275	U+120EC	oNOTO
o0001244	U+120ED	oNOTO
o0000190	U+120EE	oNOTO
o0001181	U+120EF	oNOTO
o0000193	U+120F0	oNOTO
o0001183	U+120F1	oNOTO
o0000194	U+120F2	oNOTO
o0001201	U+120F3	oNOTO
o0000195	U+120F4	oNOTO
o0000196	U+120F5	oNOTO
o0000197	U+120F6	oNOTO
o0000199	U+120F7	oNOTO
o0000201	U+120F8	oNOTO
o0001217	U+120F9	oNOTO
o0001216	U+120FA	oNOTO
o0000202	U+120FB	oNOTO
o0000204	U+120FC	oNOTO
o0000205	U+120FD	oNOTO
o0000208	U+120FE	oNOTO
o0001333	U+120FF	oNOTO
o0000210	U+12100	oNOTO
o0001358	U+12101	oNOTO
o0001360	U+12102	oNOTO
o0001335	U+12103	oNOTO
o0000219	U+12104	oNOTO
o0001409	U+12105	oNOTO
o0001408	U+12106	oNOTO
o0000211	U+12107	oNOTO
o0000213	U+12108	oNOTO
o0000214	U+12109	oNOTO
o0000215	U+1210A	oNOTO
o0001349	U+1210B	oNOTO
o0001351	U+1210C	oNOTO
o0001352	U+1210D	oNOTO
o0001350	U+1210E	oNOTO
o0001353	U+1210F	oNOTO
o0000216	U+12110	oNOTO
o0000217	U+12111	oNOTO
o0001363	U+12112	oNOTO
o0001406	U+12113	oNOTO
o0001407	U+12114	oNOTO
o0000218	U+12115	oNOTO
o0000221	U+12116	oNOTO
o0001412	U+12117	oNOTO
o0000230	U+12118	oNOTO
o0001431	U+12119	oNOTO
o0001432	U+1211A	oNOTO
o0001433	U+1211B	oNOTO
o0001428	U+1211C	oNOTO
o0000231	U+1211D	oNOTO
o0000222	U+1211E	oNOTO
o0001419	U+1211F	oNOTO
o0001422	U+12120	oNOTO
o0001414	U+12121	oNOTO
o0000224	U+12122	oNOTO
o0000225	U+12123	oNOTO
o0001424	U+12124	oNOTO
o0000226	U+12125	oNOTO
o0000229	U+12126	oNOTO
o0000227	U+12127	oNOTO
o0000228	U+12128	oNOTO
o0000228	U+12128	oNOTO
o0000232	U+12129	oNOTO
o0000234	U+1212A	oNOTO
o0000233	U+1212B	oNOTO
o0000236	U+1212C	oNOTO
o0000237	U+1212D	oNOTO
o0001447	U+1212E	oNOTO
o0001452	U+1212F	oNOTO
o0001453	U+12130	oNOTO
o0001454	U+12131	oNOTO
o0001455	U+12132	oNOTO
o0001456	U+12133	oNOTO
o0001462	U+12134	oNOTO
o0001464	U+12135	oNOTO
o0028114	U+12136	oNOTO
o0000239	U+12137	oNOTO
o0000240	U+12138	oNOTO
o0001473	U+12139	oNOTO
o0001474	U+1213A	oNOTO
o0001475	U+1213B	oNOTO
o0001476	U+1213C	oNOTO
o0001477	U+1213D	oNOTO
o0000241	U+1213E	oNOTO
o0000242	U+1213F	oNOTO
o0001478	U+12140	oNOTO
o0000244	U+12141	oNOTO
o0000245	U+12142	oNOTO
o0001482	U+12143	oNOTO
o0000645	U+12144	oNOTO
o0000246	U+12145	oNOTO
o0000247	U+12146	oNOTO
o0001487	U+12147	oNOTO
o0001510	U+12148	oNOTO
o0001483	U+12149	oNOTO
o0000248	U+1214A	oNOTO
o0000249	U+1214B	oNOTO
o0001524	U+1214C	oNOTO
o0000252	U+1214D	oNOTO
o0000254	U+1214E	oNOTO
o0000254	U+1214E	oNOTO
o0001549	U+1214F	oNOTO
o0001529	U+12150	oNOTO
o0001548	U+12151	oNOTO
o0000649	U+12152	oNOTO
o0000255	U+12153	oNOTO
o0000256	U+12154	oNOTO
o0000257	U+12155	oNOTO
o0000259	U+12156	oNOTO
o0000260	U+12157	oNOTO
o0001611	U+12158	oNOTO
o0001610	U+12159	oNOTO
o0001593	U+1215A	oNOTO
o0001612	U+1215B	oNOTO
o0001613	U+1215C	oNOTO
o0001614	U+1215D	oNOTO
o0001615	U+1215E	oNOTO
o0001616	U+1215F	oNOTO
o0001620	U+12160	oNOTO
o0001622	U+12161	oNOTO
o0001628	U+12162	oNOTO
o0001624	U+12163	oNOTO
o0001626	U+12164	oNOTO
o0001627	U+12165	oNOTO
o0001594	U+12166	oNOTO
o0001631	U+12167	oNOTO
o0001630	U+12168	oNOTO
o0001595	U+12169	oNOTO
o0001632	U+1216A	oNOTO
o0001635	U+1216B	oNOTO
o0001634	U+1216C	oNOTO
o0001637	U+1216D	oNOTO
